Question,Category,Answer
"Hostel rules",hostel,"Our hostels are well-equipped with all modern amenities. You can apply for hostel during admission."
"Is hostel compulsory?",hostel,"Yes, we have separate boys' and girls' hostels with 24/7 security, Wi-Fi, mess facilities, and recreational areas. Hostel accommodation is optional."
"How are the placements?",placements,"Our college has excellent placement records. Top companies like TCS, Infosys, Wipro, Amazon, Microsoft visit our campus. Average package is ₹6-8 LPA, highest package goes up to ₹25 LPA."
"Placement record",placements,"We have a dedicated placement cell that provides training and placement assistance. Many students get placed in reputed companies every year."
"Companies visiting",placements,"Our college has excellent placement records. Top companies like TCS, Infosys, Wipro, Amazon, Microsoft visit our campus. Average package is ₹6-8 LPA, highest package goes up to ₹25 LPA."
"Average package",placements,"We have a dedicated placement cell that provides training and placement assistance. Many students get placed in reputed companies every year."
"Highest package",placements,"Our college has excellent placement records. Top companies like TCS, Infosys, Wipro, Amazon, Microsoft visit our campus. Average package is ₹6-8 LPA, highest package goes up to ₹25 LPA."
"What scholarships are available?",scholarships,"We offer merit-based scholarships, government scholarships, and need-based financial aid. Merit scholarships are given to students with excellent academic records."
"Scholarship criteria",scholarships,"Various scholarship schemes are available. Please check the scholarship section on our website or contact the admissions office."
"How to apply for scholarship",scholarships,"We offer merit-based scholarships, government scholarships, and need-based financial aid. Merit scholarships are given to students with excellent academic records."
"Merit scholarship",scholarships,"Various scholarship schemes are available. Please check the scholarship section on our website or contact the admissions office."
"Does college provide transport?",transport,"Yes, we provide bus facilities from major locations in the city. There are multiple bus routes. Transport fees are ₹15,000 per year."
"Bus facility",transport,"Our college is well-connected by buses. We have a fleet of buses covering all major areas. The transport facility is safe and reliable."
"Transport fees",transport,"Yes, we provide bus facilities from major locations in the city. There are multiple bus routes. Transport fees are ₹15,000 per year."
"Bus routes",transport,"Our college is well-connected by buses. We have a fleet of buses covering all major areas. The transport facility is safe and reliable."
"How to reach college?",transport,"Yes, we provide bus facilities from major locations in the city. There are multiple bus routes. Transport fees are ₹15,000 per year."
"Exam schedule",exams,"Exams are conducted as per the university schedule. Mid-sem exams are in October and March. End-sem exams are in December and May."
"When are exams?",exams,"Please check the exam portal for detailed schedule and syllabus. Results are declared within 4-6 weeks after exams."
"Exam pattern",exams,"Exams are conducted as per the university schedule. Mid-sem exams are in October and March. End-sem exams are in December and May."
"Syllabus",exams,"Please check the exam portal for detailed schedule and syllabus. Results are declared within 4-6 weeks after exams."
"Mid sem exams",exams,"Exams are conducted as per the university schedule. Mid-sem exams are in October and March. End-sem exams are in December and May."
"What is the timetable?",timetable,"College timings are 9:00 AM to 5:00 PM, Monday to Saturday. Specific class timetables are available on the student portal."
"Class schedule",timetable,"Classes start at 9 AM. Each department has its own timetable. You can check your timetable on the college website or notice board."
"Lecture timings",timetable,"College timings are 9:00 AM to 5:00 PM, Monday to Saturday. Specific class timetables are available on the student portal."
"College timings",timetable,"Classes start at 9 AM. Each department has its own timetable. You can check your timetable on the college website or notice board."
"How is the faculty?",faculty,"Our faculty members are highly qualified and experienced. Most have PhDs from reputed institutions. They are dedicated to teaching and research."
"Teaching staff",faculty,"We have an excellent team of faculty members who are experts in their fields. They provide quality education and mentorship."
"Professor details",faculty,"Our faculty members are highly qualified and experienced. Most have PhDs from reputed institutions. They are dedicated to teaching and research."
"Qualifications of teachers",faculty,"We have an excellent team of faculty members who are experts in their fields. They provide quality education and mentorship."
"Is there a library?",library,"Yes, we have a well-stocked library with thousands of books, journals, and digital resources. Library is open from 8 AM to 8 PM."
"Library facilities",library,"Our library is a treasure trove of knowledge. It has a vast collection of books, e-books, research papers, and magazines."
"Library hours",library,"Yes, we have a well-stocked library with thousands of books, journals, and digital resources. Library is open from 8 AM to 8 PM."
"Books available",library,"Our library is a treasure trove of knowledge. It has a vast collection of books, e-books, research papers, and magazines."
"Tell me about campus",campus,"Our campus is spread over 50 acres with state-of-the-art infrastructure. We have well-equipped labs, sports complex, canteen, auditorium, and much more."
"Campus facilities",campus,"The campus is eco-friendly and beautiful. We have all modern facilities including smart classrooms, computer labs, and sports facilities."
"Infrastructure",campus,"Our campus is spread over 50 acres with state-of-the-art infrastructure. We have well-equipped labs, sports complex, canteen, auditorium, and much more."
"Sports facilities",campus,"The campus is eco-friendly and beautiful. We have all modern facilities including smart classrooms, computer labs, and sports facilities."
